Year,climateTrend1,climateTrend2,climateTrend3,biologyTrend1,biologyTrend2,biologyTrend3,PDO,MEI,NPGO,SCChydro.9330.r_temp,SCChydro.9330.r_salinity,SCChydro.9330.r_sigma,SCChydro.9330.r_o2,SCChydro.9330.r_no3,SCChydro.9330.r_po4,SCChydro.8080.r_temp,SCChydro.8080.r_salinity,SCChydro.8080.r_sigma,SCChydro.8080.r_o2,SCChydro.8080.r_no3,SCChydro.8080.r_po4,SCChydro.93110.r_temp,SCChydro.93110.r_salinity,SCChydro.93110.r_sigma,SCChydro.93110.r_o2,SCChydro.93110.r_no3,SCChydro.93110.r_po4
1950,-0.383559156,-0.177632737,1.975443999,NA,NA,NA,-1.81,-1.10075,-0.766430557,8.322,34.1172,26.53,1.876,NA,2.528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,0.650628992,-0.00815728,0.977587459,-0.307285135,-0.181170998,0.514019463,-0.769166667,0.010166667,-0.961180174,8.86,34.22,26.53,1.825,NA,2.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,-0.534444118,0.42299563,0.969971231,-0.152325205,-0.151603745,0.465749748,-0.865833333,-0.0665,-0.6394242,8.82,34.1484,26.478,1.924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,-0.23353576,-1.509556835,0.211598458,-0.618130965,-0.236050776,0.211835803,-0.156666667,0.327583333,1.082280947,9.375,34.2425,26.465,1.635,NA,NA,9.13,33.353,25.81,4.44,NA,NA,NA,NA,NA,NA,NA,NA
1954,0.42365295,-1.671406316,0.590727522,-0.635761483,-0.050575599,0.032845562,-0.290833333,-0.930083333,0.20706549,9.266666667,34.287,26.51666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,-0.303626856,-1.55713617,1.26587329,-0.797457166,-0.045146337,0.008925948,-1.948333333,-1.621166667,-0.074898058,8.645,34.203,26.545,1.605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,0.850870813,-1.289133352,1.25458814,-0.638377046,-0.236103474,0.218063501,-1.804166667,-1.287416667,0.069951982,8.97,34.1995,26.495,2.065,NA,NA,9.32,33.38533333,25.8,4.893333333,NA,NA,NA,NA,NA,NA,NA,NA
1957,-0.12722303,-1.138134132,0.409283635,-0.434728988,-0.42506992,0.663909817,0.2275,0.618666667,-1.147306954,8.99,34.26,26.54,1.35,NA,NA,9.48,33.43,25.81,4.46,NA,NA,NA,NA,NA,NA,NA,NA
1958,0.075972453,-0.212487199,0.844659192,-0.480557264,0.190619098,0.336715585,0.643333333,0.787,-0.547807002,8.61,34.162,26.525,1.855,NA,NA,9.76,33.49,25.81,4.3,NA,NA,NA,NA,NA,NA,NA,NA
1959,-0.442348902,0.582681288,-0.626002645,-0.577750075,0.129232317,0.361614708,-0.026666667,0.133416667,-0.203461008,9.141428571,34.22985714,26.49,1.455,NA,NA,10.32,33.53,25.75,4,NA,NA,NA,NA,NA,NA,NA,NA
1960,-0.009741208,0.860734117,-0.113058568,-0.525068453,-0.233153844,0.75481462,0.0575,-0.2805,0.747739953,8.925555556,34.20533333,26.50777778,1.513333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,1.43809138,0.90342822,0.167868402,-0.441381383,-0.265162915,0.62653264,-0.8175,-0.280333333,0.970684513,8.946666667,34.20333333,26.5,1.623333333,NA,NA,10.06,33.563,25.82,4.64,NA,NA,NA,NA,NA,NA,NA,NA
1962,-0.308598287,0.786806606,0.022756361,-0.303967286,-0.332064692,1.073641228,-1.158333333,-0.761833333,-0.093424126,8.813333333,34.14866667,26.48,1.453333333,NA,NA,10.4,33.575,25.77,4,NA,NA,NA,NA,NA,NA,NA,NA
1963,-0.280185556,0.738438012,0.080557247,-0.639447422,-0.235410576,0.815669581,-0.685833333,0.042833333,-0.234721502,8.903333333,34.24,26.53666667,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,0.356680508,0.441328987,0.96499461,-0.298969162,-0.252270394,0.494072091,-0.77,-0.785333333,0.544102425,8.626666667,34.16233333,26.52,1.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,NA,NA,NA,-0.332579349,-0.161319548,0.743942325,-0.314166667,0.69175,-0.837212701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,-0.078405091,-0.040064461,0.071327389,0.105705981,-0.727284019,1.265891707,-0.459166667,0.253916667,-0.956356193,9.023333333,34.229,26.51,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,NA,NA,NA,NA,NA,NA,-0.734166667,-0.594833333,-0.699724801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,NA,NA,NA,NA,NA,NA,-0.403333333,-0.321083333,-0.850601763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,0.211825968,-0.421934379,-0.524618368,-0.251356509,-0.02211449,0.380573622,-0.098333333,0.545333333,-0.387628509,9.24,34.25111111,26.49444444,1.4325,29.9,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,NA,NA,NA,NA,NA,NA,-0.3975,-0.53275,0.061043154,,,,,,,,,,,,,,,,,,
1971,NA,NA,NA,0.297215657,-0.796942106,0.760422492,-1.290833333,-1.407,0.381984271,,,,,,,,,,,,,,,,,,
1972,0.226606271,-0.254309046,0.037653789,1.056184053,-1.259532181,0.723614258,-0.921666667,0.859,-0.659303726,9.155,34.21,26.475,NA,NA,NA,10.02333333,33.52066667,25.79,4.79,14,1.24,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,0.746685088,-0.645796402,0.458096807,-0.804166667,-0.449166667,0.126585564,,,,,,,,,,,,,,,,,,
1974,NA,NA,NA,0.4373341,-0.728475939,0.591011383,-0.336666667,-1.175083333,-0.009310217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,0.132652826,0.031449822,0.838165687,0.423515392,-0.569524512,0.399015235,-1.101666667,-1.29375,0.798500537,8.696,34.172,26.516,NA,NA,NA,9.93,33.485,25.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,NA,NA,NA,0.518015848,-0.165795803,0.180876827,0.008333333,-0.104916667,1.86321135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,NA,NA,NA,0.495134179,-0.460040643,0.480924641,0.230833333,0.621166667,1.249270341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,0.248246144,-0.481724372,0.627457521,0.757605792,0.226725627,-0.189920418,0.235833333,0.117083333,0.504466636,9.006,34.2262,26.51,1.652,28.86,2.113333333,9.54,33.496,25.85,4.52,16.4,1.07,7.58,34,26.55,3.17,27.7,2.17
1979,,,,-1.032419294,-0.047235177,0.748346604,0.335,0.526,-0.737188575,,,,,,,,,,,,,,,,,,
1980,,,,-1.047145451,0.006917224,0.689876522,0.6025,0.559083333,-0.749107276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,0.729115233,0.189661202,0.299775777,0.972967066,0.360539182,1.061656712,0.918333333,0.077333333,-0.221840562,8.96,34.2005,26.5,1.25,30.3,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,-2.084119595,0.747250469,-0.374547731,1.179094015,-0.500793785,0.357988592,0.114166667,1.0995,-0.686691381,8.85,34.21,26.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,NA,NA,NA,0.318976358,0.253088201,-0.870524049,1.648333333,1.616416667,-0.092064694,,,,,,,,,,,,,,,,,,
1984,-0.34292957,1.131683566,1.573741191,0.425542713,-0.139593984,-0.08866408,0.8375,-0.119416667,0.620750037,8.4672,34.11432,26.5076,2.0696,29.888,2.2456,10.55666667,33.63933333,25.79,4.53,15.53333333,1.413333333,NA,NA,NA,NA,NA,NA
1985,-0.023820422,0.578725658,0.709442576,-0.633587551,0.066895103,0.845744714,0.449166667,-0.390416667,-0.393901047,8.745,34.133,26.475,2.21,28.8,2.29,10.255,33.5515,25.78,4.475,15.45,1.235,8.13,34.065,26.52,2.535,28.7,2.045
1986,-0.102785971,-0.153927618,0.573659943,0.115427971,1.055640356,1.028307579,1.239166667,0.450666667,-0.732847288,8.86,34.18933333,26.50333333,1.686666667,29.2,2.396666667,9.71,33.527,25.85,4.27,18.4,1.49,7.985,34.008,26.495,2.82,28.15,2.075
1987,0.485795103,0.08691072,0.800807548,0.528434117,-0.263526672,0.665320458,1.820833333,1.676666667,0.429174729,8.792,34.1714,26.502,1.828,29.66,2.31,9.813333333,33.499,25.81,4.37,17.5,1.413333333,7.88,33.987,26.495,2.895,28.6,2.065
1988,-0.404204706,0.337242236,1.033399502,-0.45914902,-0.080073937,0.329853089,0.531666667,-0.473,1.323636763,8.61,34.1445,26.51,1.925,29.85,2.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,0.34500766,0.031009425,0.805115008,0.084550767,-0.388195086,-0.171587175,-0.179166667,-0.527916667,0.612240617,8.865,34.185,26.5,1.9,28.35,2.335,10.06,33.498,25.77,4.6,16.6,1.42,7.85,33.988,26.5,3.57,25.2,1.89
1990,0.275651509,-0.412959078,-0.441248098,0.283952444,-0.499070279,-0.329045295,-0.355833333,0.4255,-0.201546121,9.035,34.23975,26.5175,1.5075,29.675,2.4875,9.49,33.439,25.82,4.53,17,1.41,8.34,34.104,26.52,2.24,29.15,2.255
1991,0.343066936,-0.41673273,0.802796308,0.585386645,-0.612617417,-0.079199181,-0.419166667,0.804833333,-0.498914711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.98,33.997,26.49,3.4,25.55,1.89
1992,0.437416716,-0.893280735,0.187747056,-0.039553452,0.29350781,-0.359921477,0.928333333,1.31,-1.09491887,9.14,34.23366667,26.49666667,1.62,28.83333333,2.39,9.31,33.3605,25.785,4.39,18.8,1.535,7.93,34.0135,26.51,3.05,27.15,2.065
1993,-0.099302957,-0.643503541,0.435675623,0.247504232,0.020986215,-0.269386103,1.416666667,1.121833333,-1.901992588,8.75,34.2035,26.535,1.705,29.3,2.405,9.52,33.423,25.8,4.18,18.3,1.57,8.04,34.007,26.49,3.16,26.3,1.98
1994,-0.547082767,-0.303343118,1.320078193,-0.504537962,0.247058834,0.048950353,-0.151666667,0.759166667,-1.211598783,8.66,34.1635,26.515,1.815,29.45,2.365,NA,NA,NA,NA,NA,NA,7.74,34.002,26.53,2.82,28.5,2.12
1995,1.066776374,-0.16477094,-0.084383758,-0.173270873,0.504497922,-0.339146384,0.6425,0.23025,-1.039208546,8.96,34.2345,26.525,1.495,30.05,2.46,NA,NA,NA,NA,NA,NA,7.69,33.981,26.52,3.09,27.4,2.06
1996,0.744585745,1.158688511,0.17637903,0.582067526,1.362757304,-0.621971805,0.640833333,-0.295666667,-0.972836612,8.99,34.18266667,26.48,1.756666667,29.26666667,2.356666667,10.44,33.63,25.81,4.57,13.7,1.13,7.83,33.957,26.48,3.35,26.4,1.93
1997,0.716497558,-0.051421363,-0.02051572,0.120576118,0.212200378,-0.544390938,1.460833333,1.566083333,-0.657690616,9.04,34.195,26.485,1.715,29.1,2.365,9.72,33.478,25.81,4.38,16.9,1.37,7.9,33.971,26.48,3.09,27.35,2.015
1998,-0.713904099,0.651483768,-0.46813109,0.825680409,1.864882754,-0.699847674,0.245833333,0.908583333,0.544553283,9.02,34.224,26.51,1.51,29.4,2.43,10.51,33.582,25.76,4.07,16.4,1.35,8.02,34.071,26.54,2.4,29.2,2.25
1999,-0.688881365,0.91791212,0.687637054,0.428600156,-0.447592217,-0.750745092,-1.063333333,-0.85975,1.515780517,8.7675,34.14375,26.4825,1.7625,29.875,2.405,10.4,33.652,25.83,3.82,19.2,1.54,7.845,34.005,26.515,3.065,27.95,2.07
2000,-0.121061532,0.218565166,0.591661143,0.284050341,-0.244643401,-0.522921541,-0.59,-0.481166667,1.885861292,8.84,34.171,26.495,1.64,29.8,2.4,9.94,33.513,25.8,4.485,16.55,1.365,8.14,34.004,26.47,3.19,26.7,1.95
2001,-0.222544374,-0.530491385,-0.974029187,-0.072875489,-0.104917814,-0.146738744,-0.5625,-0.11225,2.080693375,9.206666667,34.245,26.49333333,1.343333333,29.96666667,2.463333333,NA,NA,NA,NA,NA,NA,8.59,34.125,26.5,2.19,29,2.25
2002,0.085951002,0.262950192,-0.498975259,0.049995432,-0.385485502,-0.032408539,0.220833333,0.65425,1.47359396,8.77,34.221,26.54,1.49,30.3,2.47,NA,NA,NA,NA,NA,NA,8.34,34.0455,26.475,2.615,28.3,2.135
2003,-0.19946117,0.118052954,-1.051528313,0.118590952,-0.180491542,-0.533150741,0.969166667,0.514416667,0.958507189,9.18,34.2575,26.51,1.258333333,30.1,2.516666667,10.08,33.527,25.79,3.76,19.9,1.64,8.15,34.032,26.49,2.52,29.5,2.16
2004,-0.141539549,-0.170905514,-0.793839992,0.44988863,-0.3844453,-0.594985269,0.345,0.473083333,0.209460249,9.126666667,34.22133333,26.49,1.566666667,28.6,2.32,9.665,33.46,25.8,3.755,21.3,1.675,8.185,34.064,26.51,2.165,29.85,2.21
2005,-0.025208679,-0.177769388,-0.43585635,0.111361621,0.572068206,-0.669794104,0.375,0.367166667,-1.381917947,9.12,34.241,26.508,1.39,29.5,2.47,NA,NA,NA,NA,NA,NA,7.89,34.024,26.528,2.76,28.5,2.11
2006,0.137467642,-0.151819019,-1.432881773,0.004345289,0.507342248,-0.609238957,0.190833333,0.344,-0.555041996,9.1925,34.276,26.52,1.21,30.575,2.505,NA,NA,NA,NA,NA,NA,8.403333333,34.078,26.48666667,2.22,29.33333333,2.27
2007,-0.718280657,0.404345292,-0.320088793,-0.275652989,0.138869703,-0.417076642,-0.195833333,-0.296583333,0.593098207,9.145,34.2325,26.49,1.445,29.45,2.435,10.18,33.606,25.83,3.67,19.7,1.57,7.98,34.004,26.49,3.02,27.4,1.98
2008,0.601065866,0.956705521,-1.297208447,-0.384310196,-0.076516587,-0.289266356,-1.2925,-0.643083333,1.455274563,9.21,34.26566667,26.51366667,1.086666667,30.23333333,2.556666667,10.47,33.58,25.767,4.53,17.5,1.43,8.35,34.028,26.463,2.55,28.2,2.1
2009,0.683069448,-0.086980491,-0.815362141,0.119366513,0.155713883,-0.494581752,-0.6125,0.399083333,0.736914838,9.09,34.226,26.5015,1.34,30.05,2.445,NA,NA,NA,NA,NA,NA,8.2,34.014,26.474,2.71,29.6,2.05
2010,0.801383248,-0.941690049,-1.399278338,-0.093315371,0.018201545,-0.218579574,-0.3125,-0.341,1.368568881,9.46,34.29,26.493,1.19,29.5,2.5,9.19,33.377,25.82,4.65,18.9,1.49,8.29,34.002,26.451,2.71,28,2.08
2011,0.195234716,-0.376852624,-1.646192454,0.202696818,-0.024449835,-0.354682425,-1.230833333,-0.896916667,0.857692208,9.28,34.28433333,26.51666667,0.973333333,29.7,2.576666667,9.68,33.473,25.816,4.14,18.9,1.49,8.05,34.033,26.511,2.2,30.3,2.26
2012,0.055619787,-0.289339214,-1.587005842,-0.134635386,-0.284241795,-0.050921878,-1.1,0.171333333,1.476522403,9.316666667,34.276,26.504,1.056666667,30.03333333,2.5,NA,NA,NA,NA,NA,NA,8.15,34.064,26.521,2.02,30.9,2.32
2013,-0.639340826,0.034288503,-0.859249244,1.476550383,-0.843909848,0.52494843,-0.5175,-0.0735,0.344364695,8.95,34.2115,26.5155,1.33,29.8,2.45,NA,NA,NA,NA,NA,NA,8.24,34.033,26.487,2.2,29.4,2.2
2014,-0.949444443,1.148778194,-0.881824014,0.338209616,-0.072177578,0.805033875,1.130833333,0.507583333,-0.251159117,8.85,34.149,26.483,1.63,29.8,2.36,NA,NA,NA,NA,NA,NA,8.47,34.061,26.475,2.17,28.9,2.22
2015,NA,NA,NA,1.168460585,1.357570034,1.689515006,1.634166667,1.639833333,-1.396918048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,NA,NA,NA,-0.642241924,0.170349552,0.897676973,1.5425,0.9225,-0.061694439,,,,,,,,,,,,,,,,,,